pid,date,like_rate,mark_rate,is_comic,is_ai,is_Genshin,is_Honkai,comments,views,rank,top_cnt,date_diff_day
103078536,20221125,0.12971423452476932,0.2346143509809191,0,1,0,0,3,11163,46,0,0
103071989,20221125,0.14311986153180442,0.22749891821722198,0,1,1,0,2,9244,44,0,1
103069372,20221125,0.1944209636517329,0.32889546351084814,0,1,1,0,3,14196,43,0,1
103079430,20221125,0.17345773038842346,0.28465346534653463,0,1,1,0,2,5252,41,0,0
103064707,20221125,0.16172370088719898,0.24581749049429658,0,1,0,1,8,15780,38,0,1
103071664,20221125,0.1380603096984515,0.2247758761206194,0,1,0,0,2,6135,35,0,1
103052190,20221125,0.17588836300803845,0.30529261513034334,0,1,1,0,15,53244,33,0,2
103052122,20221125,0.1991718866121669,0.2956789468096401,0,1,0,0,3,9419,27,0,2
103046711,20221125,0.13395178860074497,0.21765408672429545,0,1,0,0,5,14229,25,0,2
103072316,20221125,0.11051473823141222,0.17105147382314123,0,1,1,0,4,11365,14,0,1
103046318,20221125,0.16162551440329218,0.2359053497942387,0,1,1,0,3,9720,7,0,2
103066782,20221125,0.20582787440704767,0.3337926360966795,0,1,1,0,12,44270,8,2,1
103045473,20221125,0.1740392156862745,0.26603921568627453,0,1,1,0,10,12750,9,2,2
103061390,20221125,0.17321822189566496,0.3204139113397012,0,1,1,0,4,16332,10,0,1
103046505,20221125,0.16830091625140653,0.3610887852971119,0,1,1,0,2,18663,11,0,2
103055655,20221125,0.1057518488085456,0.17107641741988497,0,1,1,0,2,12170,12,2,1
103054581,20221125,0.16963900474615273,0.27240040270386884,0,1,1,0,4,13906,15,2,1
103058657,20221125,0.11269292176689728,0.16285258116019158,0,1,0,0,4,7516,24,0,1
103062668,20221125,0.17078022544757976,0.31253223310985045,0,1,1,0,6,13573,17,0,1
103046415,20221125,0.16149011749703981,0.24956735586118955,0,1,1,0,1,10979,18,2,2
103072158,20221125,0.14340425531914894,0.2174468085106383,0,1,0,0,5,9400,19,0,1
103059332,20221125,0.12169878658101356,0.1748750892219843,0,1,0,0,2,8406,21,2,1
103058733,20221125,0.0781370284834488,0.17404413651526815,0,1,0,0,7,15588,22,0,1
103061385,20221125,0.12255358807082944,0.20514911463187324,0,1,1,0,1,8584,23,0,1
103071257,20221125,0.17827396774765195,0.27104377104377103,0,1,1,0,1,11286,47,0,1
103074012,20221125,0.1665112335735481,0.2506994489190335,0,1,1,0,3,11795,32,0,1
103047239,20221125,0.16163599454224767,0.24992512230024294,0,0,1,0,7,30049,32,0,2
103047782,20221125,0.15149846252696314,0.23181421818348708,0,0,0,0,9,21789,31,0,2
103046117,20221125,0.05329337963481573,0.07401702699675143,0,0,0,0,30,71416,33,0,2
103044348,20221125,0.1298902036030274,0.1667732651103294,0,0,0,0,6,18762,35,0,2
103061571,20221125,0.08323361978316836,0.11918488705174227,0,0,0,0,34,110316,36,0,1
103054207,20221125,0.03709015849165424,0.045616151957715324,0,0,0,0,22,263547,37,0,1
103044442,20221125,0.01476256296434125,0.01732433114924044,0,0,0,0,16,300964,38,0,2
103050856,20221125,0.027322465138002357,0.02535418010364077,0,0,0,0,76,89926,40,2,2
103044291,20221125,0.10714388717445851,0.16413347561503186,0,0,0,0,18,34673,24,0,2
103060300,20221125,0.16037138636843215,0.23155377365126256,0,0,0,0,35,71085,41,0,1
103066714,20221125,0.03865480581471035,0.0441310479496637,0,0,0,0,137,345675,42,0,1
103071501,20221125,0.053900616659597375,0.053003360631668245,1,0,0,0,49,61298,43,0,1
103044721,20221125,0.0208199046022947,0.02197093869132028,1,0,0,0,55,108598,44,2,2
103059596,20221125,0.06633484561511695,0.08653775565637434,0,0,0,0,8,68109,46,0,1
103063830,20221125,0.10124546508583611,0.12716460335864158,0,0,0,0,6,26737,47,0,1
103055739,20221125,0.12288748192831148,0.173288798045765,0,0,0,0,8,20059,50,0,1
103044296,20221125,0.026595425346701087,0.026685477576994656,0,0,0,0,46,66628,26,0,2
103059243,20221125,0.1540461215932914,0.2240041928721174,0,0,1,0,14,47700,12,2,1
103046882,20221125,0.15778197612137973,0.2112186666147284,0,0,0,0,168,256715,1,2,2
103045350,20221125,0.11177181180097057,0.1503134567721242,0,0,1,0,35,96026,2,2,2
103044340,20221125,0.027820153353807234,0.031240883064938187,1,0,0,0,221,449027,3,2,2
103044319,20221125,0.16308185027477526,0.21226844269752884,0,0,0,0,25,54954,8,2,2
103051317,20221125,0.030258643202697357,0.03662452908734089,0,0,0,0,209,773498,9,2,2
103044523,20221125,0.175004539676775,0.24403789116881544,0,0,0,0,45,66084,10,2,2
103055879,20221125,0.13217767398799202,0.18236525560153935,0,0,0,0,79,144737,11,2,1
103068010,20221125,0.05183655985626406,0.03912282997989125,1,0,0,0,61,168086,18,2,1
103060747,20221125,0.08546151834742438,0.1116752375141637,0,0,0,0,51,45892,21,2,1
103044521,20221125,0.10363954505686788,0.16705161854768155,0,0,0,0,25,57150,19,2,2
103065523,20221125,0.10566573535473824,0.1284294416708652,0,0,0,0,10,21833,17,2,1
103054869,20221125,0.18900684398817857,0.2681015710063773,0,0,0,0,17,51432,16,0,1
103021671,20221124,0.1550364077669903,0.2483818770226537,0,1,0,1,4,9888,45,0,2
103057297,20221124,0.10894361633182113,0.1914452365521711,0,1,0,0,6,15430,46,0,0
103038488,20221124,0.11680204572803851,0.19043321299638988,0,1,1,0,2,13296,43,0,1
103034408,20221124,0.16437474869320468,0.28041817450743867,0,1,0,0,6,12435,42,0,1
103029672,20221124,0.1285235721872702,0.22215867309420703,0,1,1,0,0,12239,41,0,1
103062562,20221124,0.17513244001246495,0.32115923963851667,0,1,1,0,4,16045,30,0,0
103017859,20221124,0.14233913970849627,0.24201919658727336,0,1,1,0,5,14065,9,2,2
103021124,20221124,0.14076475178582148,0.22546371330812173,0,1,0,1,5,16659,16,2,2
103031479,20221124,0.164971531461385,0.2657550245754051,0,1,0,1,5,20549,14,0,1
103029367,20221124,0.16709419980048454,0.28103177996294715,0,1,1,0,3,14034,13,0,1
103021923,20221124,0.12551256908539846,0.23284007844535567,0,1,0,0,4,11218,12,0,2
103025748,20221124,0.16598694942903752,0.26977977161500816,0,1,0,0,4,4904,10,0,1
103017470,20221124,0.19066232356134635,0.29200144770177344,0,1,0,0,7,13815,8,0,2
103015897,20221124,0.16467581532307352,0.23162397910995056,0,1,0,0,10,17999,18,2,2
103023392,20221124,0.17599578873486577,0.24899105106158975,0,1,0,1,4,5699,7,0,1
103021760,20221124,0.13030036887405586,0.29035657825399613,0,1,0,0,3,28465,6,0,2
103015602,20221124,0.13968204969902762,0.22387714153418736,0,1,0,1,4,12958,5,2,2
103016404,20221124,0.18010138157240832,0.2763144816618626,0,1,1,0,5,10061,4,2,2
103025097,20221124,0.1550783617629232,0.2176811845181401,0,1,0,0,2,11549,3,2,1
103017189,20221124,0.17664515171748646,0.279471770902886,0,1,1,0,4,13479,2,2,2
103017006,20221124,0.10955248913623541,0.16185103301059695,0,1,1,0,3,13117,1,2,2
103017899,20221124,0.15928112632193603,0.2292869655485629,0,1,1,0,1,15413,17,2,2
103050416,20221124,0.13435317592284668,0.2268041237113402,0,1,0,0,8,3007,19,0,1
103043296,20221124,0.15965464605991223,0.24446670482732302,0,1,0,1,12,20964,37,0,1
